Date,Year,Month,Urban_Pixels,Valid_Pixels,Urban_Area_km2,Urban_Percentage
2018-02-17,2018,2,8233,8617980,7.4097,0.09553282787845876
2018-03-05,2018,3,8309,8617980,7.4781,0.09641470507009764
2018-03-21,2018,3,6456,8617980,5.8104,0.07491314670027083
2018-04-06,2018,4,932,8617980,0.8388,0.010814599244834636
2018-04-22,2018,4,150,8617980,0.135,0.0017405470887609392
2018-05-08,2018,5,3141,8617980,2.8269,0.03644705603865407
2018-05-24,2018,5,131,8617980,0.1179,0.0015200777908512203
2018-06-09,2018,6,2216,8617980,1.9944,0.025713682324628277
2018-06-25,2018,6,1077,8617980,0.9693,0.012497128097303545
2018-07-27,2018,7,3135,8617980,2.8215,0.03637743415510363
2018-08-12,2018,8,264,8617980,0.2376,0.0030633628762192534
2018-08-28,2018,8,1840,8617980,1.656,0.021350710955467523
2018-09-13,2018,9,12005,8617980,10.8045,0.1393017853371672
2018-09-29,2018,9,2403,8617980,2.1627,0.027883564361950247
2018-10-15,2018,10,4524,8617980,4.0716,0.05249490019702993
2018-11-16,2018,11,322,8617980,0.2898,0.0037363744172068166
2018-12-02,2018,12,4291,8617980,3.8619,0.04979125038582127
2018-12-18,2018,12,74,8617980,0.0666,0.0008586698971220633
2019-01-03,2019,1,3448,8617980,3.1032,0.04000937574698479
2019-02-04,2019,2,5,8617980,0.0045,5.801823629203131e-05
2019-02-20,2019,2,6454,8617980,5.8086,0.07488993940575402
2019-03-08,2019,3,6087,8617980,5.4783,0.07063140086191892
2019-03-24,2019,3,9835,8617980,8.8515,0.11412187078642559
2019-04-09,2019,4,11233,8617980,10.1097,0.13034376965367755
2019-04-25,2019,4,2424,8617980,2.1816,0.028127240954376784
2019-05-11,2019,5,3355,8617980,3.0195,0.03893023655195301
2019-05-27,2019,5,3730,8617980,3.357,0.043281604273855356
2019-06-12,2019,6,0,8617980,0.0,0.0
2019-06-28,2019,6,2267,8617980,2.0403,0.026305468334806993
2019-07-14,2019,7,916,8617980,0.8244,0.010628940888700136
2019-07-30,2019,7,1014,8617980,0.9126,0.01176609832002395
2019-08-31,2019,8,976,8617980,0.8784,0.011325159724204512
2019-10-18,2019,10,2332,8617980,2.0988,0.0270597054066034
2019-11-03,2019,11,2263,8617980,2.0367,0.026259053745773368
2019-11-19,2019,11,2077,8617980,1.8693,0.024100775355709807
2019-12-05,2019,12,593,8617980,0.5337,0.006880962824234913
2020-01-06,2020,1,4648,8617980,4.1832,0.05393375245707231
2020-02-23,2020,2,4123,8617980,3.7107,0.04784183764640902
2020-03-10,2020,3,43305,8617980,38.9745,0.5024959445252832
2020-03-26,2020,3,4691,8617980,4.2219,0.05443270928918377
2020-04-11,2020,4,28239,8617980,25.4151,0.3276753949301344
2020-04-27,2020,4,4124,8617980,3.7116,0.04785344129366743
2020-05-29,2020,5,3360,8617980,3.024,0.038988254788245046
2020-06-14,2020,6,4113,8617980,3.7017,0.04772580117382496
2020-08-17,2020,8,3412,8617980,3.0708,0.03959164444568217
2020-10-04,2020,10,963,8617980,0.8667,0.011174312309845232
2020-10-20,2020,10,4221,8617980,3.7989,0.04897899507773283
2020-11-21,2020,11,1680,8617980,1.512,0.019494127394122523
2020-12-07,2020,12,340,8617980,0.306,0.003945240067858129
2020-12-23,2020,12,2963,8617980,2.6667,0.03438160682665775
2021-01-08,2021,1,254,8617980,0.2286,0.0029473264036351905
2021-01-24,2021,1,3332,8617980,2.9988,0.03866335266500967
2021-02-09,2021,2,4508,8617980,4.0572,0.05230924184089542
2021-02-25,2021,2,3609,8617980,3.2481,0.0418775629555882
2021-03-13,2021,3,13306,8617980,11.9754,0.15439813042035372
2021-03-29,2021,3,8827,8617980,7.9443,0.10242539434995208
2021-04-14,2021,4,4353,8617980,3.9177,0.05051067651584246
2021-05-16,2021,5,0,8617980,0.0,0.0
2021-06-01,2021,6,3712,8617980,3.3408,0.04307273862320404
2021-06-17,2021,6,82,8617980,0.0738,0.0009514990751893135
2021-07-19,2021,7,5332,8617980,4.7988,0.06187064718182219
2021-08-04,2021,8,5175,8617980,4.6575,0.060048874562252406
2021-08-20,2021,8,3930,8617980,3.537,0.04560233372553661
2021-09-05,2021,9,3526,8617980,3.1734,0.04091446023314048
2021-09-21,2021,9,5078,8617980,4.5702,0.058923320778187
2021-10-07,2021,10,6615,8617980,5.9535,0.07675812661435742
2021-10-23,2021,10,1405,8617980,1.2645,0.0163031243980608
2021-11-08,2021,11,0,8617980,0.0,0.0
2021-12-10,2021,12,2139,8617980,1.9251,0.024820201485730994
2021-12-18,2021,12,2494,8617980,2.2446,0.02893949626246522
2021-12-26,2021,12,4446,8617980,4.0014,0.051589815710874246
2022-01-11,2022,1,3673,8617980,3.3057,0.0426201963801262
2022-01-19,2022,1,1250,8617980,1.125,0.014504559073007827
2022-02-04,2022,2,2268,8617980,2.0412,0.026317071982065406
2022-02-12,2022,2,1945,8617980,1.7505,0.02256909391760018
2022-02-20,2022,2,4120,8617980,3.708,0.0478070267046338
2022-02-28,2022,2,6030,8617980,5.427,0.06996999296818976
2022-03-08,2022,3,5485,8617980,4.9365,0.06364600521235834
2022-03-24,2022,3,489,8617980,0.4401,0.005674183509360662
2022-04-01,2022,4,4503,8617980,4.0527,0.0522512236046034
2022-04-09,2022,4,5378,8617980,4.8402,0.06240441495570888
2022-04-17,2022,4,5435,8617980,4.8915,0.06306582284943804
2022-05-11,2022,5,3,8617980,0.0027,3.4810941775218785e-05
2022-05-19,2022,5,4104,8617980,3.6936,0.0476213683484993
2022-05-27,2022,5,4372,8617980,3.9348,0.05073114581375218
2022-06-04,2022,6,29,8617980,0.0261,0.0003365057704937816
2022-06-20,2022,6,779,8617980,0.7011,0.009039241214298478
2022-06-28,2022,6,501,8617980,0.4509,0.005813427276461537
2022-07-14,2022,7,2845,8617980,2.5605,0.03301237645016582
2022-07-30,2022,7,72,8617980,0.0648,0.0008354626026052508
2022-08-15,2022,8,1539,8617980,1.3851,0.017858013130687238
2022-08-23,2022,8,0,8617980,0.0,0.0
2022-09-16,2022,9,3646,8617980,3.2814,0.04230689790414923
2022-09-24,2022,9,4982,8617980,4.4838,0.05780937064138
2022-10-02,2022,10,5498,8617980,4.9482,0.06379685262671762
2022-10-10,2022,10,2441,8617980,2.1969,0.028324502957769684
2022-10-26,2022,10,757,8617980,0.6813,0.00878396097461354
2022-11-03,2022,11,552,8617980,0.4968,0.0064052132866402565
2022-11-11,2022,11,0,8617980,0.0,0.0
2022-11-27,2022,11,890,8617980,0.801,0.010327246059981574
2022-12-05,2022,12,4458,8617980,4.0122,0.05172905947797512
2022-12-13,2022,12,1371,8617980,1.2339,0.015908600391274987
2023-01-06,2023,1,1489,8617980,1.3401,0.017277830767766924
2023-01-14,2023,1,3868,8617980,3.4812,0.04488290759551542
2023-01-30,2023,1,495,8617980,0.4455,0.0057438053929111
2023-02-15,2023,2,3692,8617980,3.3228,0.04284066567803592
