Model,MAE (km²),RMSE (km²),R²,MAPE (%)
Prophet,2.767049478537124,3.8637731623872584,-0.33317690627361163,inf
ARIMA,2.4231662396900417,3.4127808376543394,-0.04011494859400333,inf
Random Forest,2.2716720746178507,3.547420171491504,-0.12380200170663436,inf
