Date,Year,Month,Urban_Pixels,Valid_Pixels,Clear_Pixels,Urban_Area_km2,Urban_Percentage,Cloud_Coverage
2016-12-12,2016,12,1033,5402236,5402236,0.9297,0.019121711824511185,37.31435904933639
2016-12-28,2016,12,679,5547812,5547812,0.6111,0.012239059290401332,35.62514649604664
2017-01-13,2017,1,1886,8617348,8617348,1.6974,0.021886083746414788,0.0073335050673127575
2017-01-29,2017,1,926,4845187,4845187,0.8334,0.01911174945363306,43.77815915098434
2017-02-14,2017,2,53,3483011,3483011,0.0477,0.0015216719097355708,59.584368958851144
2017-03-02,2017,3,1120,5623037,5623037,1.008,0.019918062072150692,34.75226213103302
2017-03-18,2017,3,1283,6204800,6204800,1.1547,0.020677539969056215,28.00168949104083
2017-04-03,2017,4,1436,6296194,6296194,1.2924,0.022807429377176117,26.94118575350604
2017-04-19,2017,4,1016,6007895,6007895,0.9144,0.01691108116902842,30.286505654457308
2017-05-05,2017,5,1407,7096797,7096797,1.2663,0.019825845377851446,17.651270947484214
2017-06-06,2017,6,415,4953845,4953845,0.3735,0.008377331143788311,42.51733004718043
2017-06-22,2017,6,717,5141745,5141745,0.6453,0.013944682204193324,40.33700472732589
2017-07-08,2017,7,508,4676232,4676232,0.4572,0.01086344732254516,45.738653373528365
2017-07-24,2017,7,664,5616117,5616117,0.5976,0.011823115508455398,34.8325593700612
2017-08-09,2017,8,615,5607087,5607087,0.5535,0.010968262129694081,34.93734030480461
2017-08-25,2017,8,618,4553742,4553742,0.5562,0.013571256342585943,47.15998412621055
2017-09-10,2017,9,5,3469946,3469946,0.0045,0.00014409446141236778,59.735970610282216
2017-10-28,2017,10,359,5465333,5465333,0.3231,0.006568675687282002,36.58220371827273
2017-11-13,2017,11,479,4959923,4959923,0.4311,0.00965740798798691,42.446803079143834
2017-12-15,2017,12,1354,6803678,6803678,1.2186,0.01990100060584878,21.052520428220998
2017-12-31,2017,12,1724,7417171,7417171,1.5516,0.023243363271522256,13.933764060719566
2018-01-16,2018,1,418,4100871,4100871,0.3762,0.010192956569470241,52.41493946377225
2018-02-01,2018,2,2802,7286129,7286129,2.5218,0.038456634517450905,15.454329204755638
2018-02-17,2018,2,8110,8409466,8409466,7.299,0.09643894154515875,2.4195229044393236
2018-03-05,2018,3,8001,7559354,7559354,7.2009,0.1058423775364932,12.283922682577588
2018-03-21,2018,3,4300,5730652,5730652,3.87,0.07503509199302277,33.503535631319636
2018-04-06,2018,4,640,5685285,5685285,0.576,0.011257131348736255,34.02995829649175
2018-04-22,2018,4,24,4526376,4526376,0.0216,0.0005302255049072371,47.477529537084095
2018-05-08,2018,5,1127,5937752,5937752,1.0143,0.018980247069934883,31.1004202841037
2018-05-24,2018,5,1,3956839,3956839,0.0009,2.5272698737552882e-05,54.08623598569502
2018-06-09,2018,6,0,3383995,3383995,0.0,0.0,60.7333156957895
2018-06-25,2018,6,79,4844596,4844596,0.0711,0.0016306829300110886,43.78501690651406
2018-07-27,2018,7,1410,5060827,5060827,1.269,0.027861059071965906,41.27594865618161
2018-08-12,2018,8,83,3441518,3441518,0.0747,0.0024117264532685866,60.065839094544195
2018-08-28,2018,8,1797,7609679,7609679,1.6173,0.023614662326755177,11.699969134298293
2018-09-13,2018,9,9450,6100504,6100504,8.505,0.15490523405934986,29.211903485503566
2018-09-29,2018,9,838,5168349,5168349,0.7542,0.01621407532656947,40.028301295663255
2018-10-15,2018,10,2532,6635856,6635856,2.2788,0.0381563433564562,22.999867718421253
2018-11-16,2018,11,248,4705923,4705923,0.2232,0.005269954480768172,45.39412948277903
2018-12-02,2018,12,2865,7829344,7829344,2.5785,0.03659310409658842,9.15105395928048
2018-12-18,2018,12,70,4089702,4089702,0.063,0.0017116161519836897,52.54454060000139
2019-01-03,2019,1,2944,8389691,8389691,2.6496,0.03509068450792765,2.648985028974307
2019-02-04,2019,2,0,4077579,4077579,0.0,0.0,52.685211615715055
2019-02-20,2019,2,4865,7222924,7222924,4.3785,0.0673549936286191,16.187737729723207
2019-03-08,2019,3,2713,5775180,5775180,2.4417,0.04697689076357793,32.98684842619733
2019-03-24,2019,3,7853,6248811,6248811,7.0677,0.1256719078237444,27.491001371551103
2019-04-09,2019,4,9838,6878495,6878495,8.8542,0.14302547286870165,20.184370351288816
2019-04-25,2019,4,1124,5982578,5982578,1.0116,0.01878788709482768,30.580275192098384
2019-05-11,2019,5,1279,5818574,5818574,1.1511,0.021981330820919354,32.48331975706604
2019-05-27,2019,5,1501,5934942,5934942,1.3509,0.02529089585037225,31.13302653289982
2019-06-12,2019,6,0,3175898,3175898,0.0,0.0,63.14799987932207
2019-06-28,2019,6,714,6121523,6121523,0.6426,0.011663764066556639,28.968006423779123
2019-07-14,2019,7,612,4344551,4344551,0.5508,0.014086611021484154,49.587362699843816
2019-07-30,2019,7,392,5059540,5059540,0.3528,0.007747739913114631,41.29088255020318
2019-08-31,2019,8,177,5196486,5196486,0.1593,0.003406147923808512,39.701809472753474
2019-10-18,2019,10,1120,6964129,6964129,1.008,0.016082413177584735,19.190703621962456
2019-11-03,2019,11,1033,5027498,5027498,0.9297,0.02054699972033803,41.66268661565704
2019-11-19,2019,11,1056,5785588,5785588,0.9504,0.018252250246647356,32.866077665531826
2019-12-05,2019,12,593,5339167,5339167,0.5337,0.011106601460489997,38.04618947827681
2020-01-06,2020,1,2935,7405245,7405245,2.6415,0.039634070175936106,14.07214915792332
